id,comment,sentiment,model,video_id,reviewed
32,Xe dành cho bkc,neutral,VF3,xzVrqva0KOM,True
33,"VF5 hơn hẳn vf3 vì khung gầm, động cơ, pin và kích thước. Option có thể cắt bớt nhưng cốt lõi vẫn hơn nhiều vf3. Phù hợp chạy dịch vụ và đi cá nhân, gia đình ít ng. Rất ok",positive,VF3,xzVrqva0KOM,True
34,nhiều anh em tài xế trong nước đăng FB tiktok khuyên đừng mua VF để khỏi mât tiền oan mà vẫn có người đâm đầu vô... hài vãi,negative,VF3,xzVrqva0KOM,True
35,"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về tc😂",negative,VF3,xzVrqva0KOM,True
36,Mình làm nghề xe ở Mỹ.Mình không biết tại sao Vinfast không đem VF3 sang Mỹ nhất là Cali vì mẫu xe này sẽ phù hợp thị hiếu dân Mỹ vì họ cũng thích chế độ xe.Nó giống xe Jeep Mỹ,positive,VF3,xzVrqva0KOM,True
37,mấy ae tiên phong vỡ mòm =)))))))))))))) vừa bị chém vừa lỗi,negative,VF3,xzVrqva0KOM,True
38,"Cảm ơn b nói điều ai cũng biết , vì nó đắt hơn gần 200 chai thì chả vậy",neutral,VF3,xzVrqva0KOM,True
39,Nói gì mà điều ai cũng biết vậy bác,neutral,VF3,xzVrqva0KOM,True
40,"Chắc mấy ông đó bị tâm thần hay bị tính ghen ghét, đố kỵ !",positive,VF3,xzVrqva0KOM,True
41,"Dân mua vì đi lời lãi thì dân mua, tiền ai nấy tiêu, bạn cứ đi thử và tính toán thực tế đi mới thấy. Đọc mạng câu view thì toàn bị lừa và đầu độc.",neutral,VF3,xzVrqva0KOM,True
42,"Nhảm vậy bác, tôi đã đi VF3 nếu có lên đời mua xe khác tôi cũng sẽ mua xe VinFast đây nè.",positive,VF3,xzVrqva0KOM,True
43,Vậy mới thấy truyền thông bẩn tai hại như nào. Bạn cho tiền người ta đổ xăng ko bạn?,positive,VF3,xzVrqva0KOM,True
44,Ui. Ở nước ngoài thì k hiểu ở trong nước như nào đâu😅,neutral,VF3,xzVrqva0KOM,True
45,cách nhau cả 130 140 triệu đấykhông ít đâu ông ạ,neutral,VF3,xzVrqva0KOM,True
46,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",negative,VF3,xzVrqva0KOM,True
47,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,neutral,VF3,xzVrqva0KOM,True
48,Chuẩn luôn nhà có xe rồi mua thêm chiếc chở bồ nhí đi chơi giữa đường hết pin vào nhà nghĩ mà sạc thì đc,positive,VF3,xzVrqva0KOM,True
49,nguời ko dư giả thì ngta cũng chọn 400 hơn là 300 à mà ông nói vậy,neutral,VF3,xzVrqva0KOM,True
50,"Sớm
Muộn vf5 cũng
Có bản giá mềm. Lấh bớt khách của vf3. Vẫn còn nh ng mua vf3 vì chỉ thích xe nhỏ đi cá nhân luồn lách đi gần thì vẫn mua.",neutral,VF3,xzVrqva0KOM,True
51,ko đủ an toàn để bán âu mỹ. Ở Âu Mỹ thì khó có xe giá rẻ,negative,VF3,xzVrqva0KOM,True
52,Không qua nổi bước verification 😂 này bán đc ở đna là quá đáng lắm r,negative,VF3,xzVrqva0KOM,True
53,Đi 3 năm sướng bao lâu rồi,positive,VF3,xzVrqva0KOM,True
54,"Hãng xe nào cũng vậy thôi, cũng có tệp khách hàng tiên phong. Không có số 1 thì làm sao có số 2....",neutral,VF3,xzVrqva0KOM,True
55,"Vừa mồm thì múc, đâu ai bảo cố mà vỡ mồm. Ko có người dùng đầu tiên thì làm mẹ gì có đời kế tiếp. Hiểu thế nào là phát triển k?",positive,VF3,xzVrqva0KOM,True
56,"2 năm trước lúc tìm hiểu VF5 để mua đay cày cho sếp các video về VF5 từ đi xuyên Việt, tới 3 nước Đông Dương ... giờ mới thấy sếp ra lại 1 video về VF5",neutral,VF5,1zCYFJ9JzgI,True
57,"đợi ra thế hệ tiếp đẹp hơn, điều hòa xịn hơn chút, còn cấu hình hiện tại vậy là ổn",positive,VF5,1zCYFJ9JzgI,True
58,Loa kia bao tiền v ad 😢,neutral,VF5,1zCYFJ9JzgI,True
59,Giới hạn sạc mua EX 2 coi bộ OK nha,neutral,VF5,1zCYFJ9JzgI,True
60,"ghế lái vẹo lệch ngồi đau người, ghế sau chật, thấp ngồi tức chân chỉ phù hợp trẻ con..",negative,VF5,1zCYFJ9JzgI,True
61,Có quá nhiều xe để trải nghiệm. Hẹn ở vf5 thế hệ tiếp theo.,neutral,VF5,1zCYFJ9JzgI,True
62,Giảm giá để ra phiên bản mới ah ad ơi,neutral,VF5,1zCYFJ9JzgI,True
63,"nhược: hàng nội địa: 
ưu: giá hãi cãng: ahhahha",negative,VF5,1zCYFJ9JzgI,True
64,Mặc quần dài vào,neutral,VF5,1zCYFJ9JzgI,True
65,Người thông minh là phải mua Vinfast,positive,VF5,1zCYFJ9JzgI,True
66,dự kiến VF5 new khi nào ra mắt add,neutral,VF5,1zCYFJ9JzgI,True
67,năm 2027,neutral,VF5,1zCYFJ9JzgI,True
68,Chắc phải năm sau,neutral,VF5,1zCYFJ9JzgI,True
69,nào nào mình đang hóng cuối năm đây 😢😢😢😢,positive,VF5,1zCYFJ9JzgI,True
70,hóa ra ngôn ngữ của bọn tây nội địa chỉ có vậy.,neutral,VF5,1zCYFJ9JzgI,True
71,"Độ bất lực cao nhỉ, cay lắm nhưng clip nào cũng phải vào đớp hơn đớp cớt :))",negative,VF5,1zCYFJ9JzgI,True
72,"RÁC TRONG TÂM!
Thưa các bác,
Em rất buồn khi nhìn thấy rất nhiều bình luận hoặc phản hồi bình luận của nhiều bác bị Youtube đưa vào hộp kiểm duyệt hoặc hộp vi phạm tiêu chuẩn cộng đồng. Việc thể hiện YÊU hay KHÔNG YÊU là chuyện hết sức bình thường, ĐỒNG TÌNH hay PHẢN ĐỐI cũng là các mặt của cuộc sống, tại sao khi xe Vinfast bị chê, nhiều bác lại có thể phản ứng bằng những ngôn từ thô tục đến vậy?
Em thành thật xin lỗi vì đã không thể mở những bình luận trong mục vi phạm tiêu chuẩn cộng đồng. Nếu mở ra, kênh có thể sẽ bị sập, hoặc có thể sẽ bị phạt rất nặng. Ngôn từ thô tục có thể bị coi là rác phải không các bác?
Nếu ta yêu mến sản phẩm, niềm nở đón nhận cả những lời chê bai góp ý, thì cộng đồng sẽ ngày càng yêu mến sản phẩm.
Rất mong các bác hãy cởi mở và thư giãn khi trao đổi. 
Kính chúc các bác và gia đình cuối tuần vui vẻ!",neutral,VF7,b8mtVV98MPY,True
73,"Clip hay. Luôn đi thẳng vấn đề nhanh gọn, ko vòng vo. Mình chúa ghét nói vòng vo, nói dài mà hàm lượng thông tin chả bao nhiêu",positive,VF7,b8mtVV98MPY,True
74,"A Việt Anh nói hay quá
Chúc anh và team sức khỏe",positive,VF7,b8mtVV98MPY,True
75,"Anh luôn là ng nói công bằng nhất, ko sợ làm mất lòng hãng xe. Ủng hộ kênh của anh. Cám ơn anh",positive,VF7,b8mtVV98MPY,True
76,Clip quá hay và bổ ích a ạ,positive,VF7,b8mtVV98MPY,True
77,"Cảm ơn Bác, tháng này em đang định mua xe,nhưng con VF7 ồn quá, trở gia đình đi du lịch thì em say bye",neutral,VF7,b8mtVV98MPY,True
78,Tipcar đánh giá rất chi tiết rõ ràng. Luôn dùng số liệu để đánh giá,positive,VF7,b8mtVV98MPY,True
79,Thanks tipcar chia se,positive,VF7,b8mtVV98MPY,True
80,Anh làm video rất rễ hiểu và công tâm,positive,VF7,b8mtVV98MPY,True
81,"Xem kênh này nhiều, đánh gía rất công tâm về xe",positive,VF7,b8mtVV98MPY,True
82,Thích ccahs nói chuyện của biên tập viên tipcar TV,positive,VF7,b8mtVV98MPY,True
83,bạn này rất am hiểu về kỹ thuật và thị trường xe hơi,positive,VF7,b8mtVV98MPY,True
84,Rất  yêu tipcar TV.còn  xe vin không  chê  gì.  Chỉ  tội sx trong  nước. Đc yêu tiên  nhiều nhưng giá  thành  chưa cạnh tranh....,positive,VF7,b8mtVV98MPY,True
85,Clip rất hay cho mn dag tìm hiểu e vf7,positive,VF7,b8mtVV98MPY,True
86,Kênh này là đánh giá chân thật nhất,positive,VF7,b8mtVV98MPY,True
87,Tipcar ko lòng vòng vào vấn đề nhanh gọn công tâm,positive,VF7,b8mtVV98MPY,True
88,đợi bên anh mãi,positive,VF7,b8mtVV98MPY,True
89,Tôi thấy bác này giao diện cách nói chuyện cũng rất thật.còn có quảng cáo không thì phải chải nhiêm mới biết .còn riêng tôi tôi sẽ ủng hộ vinfat,positive,VF7,b8mtVV98MPY,True
90,"Không có màn hình sau vô-lăng, chưa quen mắt. Sàn cao, ngồi không thoải mái, cốp nên rộng thêm tý....., hy vọng các thế hệ sau sẽ hoàn thiện hơn,....tổng thể cũng là xuất sắc rồi cố lên Vinfast",neutral,VF7,b8mtVV98MPY,True
91,Chạy hay. Sướng,positive,VF7,b8mtVV98MPY,True
92,"Đôi khi họ yêu ghét theo cảm tính. Chỉ cần nghe đến Vin có khi họ đã ko thích rồi. Cho nên bạn cứ tự tin làm những gì từ tâm và tầm của mình để mang đến cho người xem, người dùng sự hiểu biết về ôto nói chung trong đó có xe điện. Riêng về xe Vin mình đã từng ngồi vf9 bản trần kính thì thấy ko phù hợp với thời tiết mùa hè Tây Nguyên.",positive,VF7,b8mtVV98MPY,True
93,"Những cái thằng ở dưới chê theo kiểu có đầu óc phân tích thì không ai người ta phản đối,nhưng hầu hết những thành phần chê đều không,hoặc chưa hề trải nghiệm những cái hay của xe điện VF mà chỉ 1 mực khăng khăng là xe điện VF đắt,kém chất lượng hoặc đội những hãng khác lên đầu với những ngôn từ hết sức phản cảm,chỉ biết xoáy vào những điểm chưa tốt mà bới móc .Thực tế những người chuyển từ xe xăng sang xe điện VF họ thấy cực kì thích thú và hài lòng với chiếc xe của họ vì những trải nghiệm mà chưa bao giờ hoặc sẽ không bao giờ có ở xe xăng.Tôi chỉ cho ví dụ đơn giản,Xăng, dầu giờ lên 30k 1 lít chắc các bố đi xe xăng khóc thét chứ chưa nói chuyện khác.",neutral,VF7,b8mtVV98MPY,True
94,chưa chắc là đã người bênh vin đâu nha. Có thể là đối thủ đấy,neutral,VF7,b8mtVV98MPY,True
95,"Xem trên nhiều video về xe VF thì thấy bị chia làm 2 phe, 1 phe thì cứ VF là chê không cần biết làm xe như nào thậm chí chưa đụng vào chiếc xe VF nào cũng chê, chê cho sướng miệng cái đã. Còn 1 phe thì ngược lại, bênh vực. Khen thì bị gọi là Vin nô, là bò đỏ, chê thì bị gọi là 3 sọc .... Nhưng dù khen hay chê thì mong các bác giữ bình tĩnh và văn hóa. lướt xuống đọc bình luận nhiều khi cảm thấy cũng ức chế.",neutral,VF7,b8mtVV98MPY,True
96,"nói chung chỉ có video về vf mới xảy ra tình trạng thế, một lũ vào chửi nhau bất chấp đúng sai. Ko biết là làm truyền thông bẩn hay gì chứ kiểu đó chỉ làm mất hình ảnh của hãng.",neutral,VF7,b8mtVV98MPY,True
97,Lạ nhỉ? Hãng làm giàu kinh tế cho đất nước mà nhiều thành phần kiểu phá hoại quá!,negative,VF7,b8mtVV98MPY,True
98,"1. Về đóng thuế, thì hàng xe nào cũng phải đóng thuế cho nhà nước như nhau
2. Về làm giàu cho đất nước thì bạn phải xem lại, tiền vào túi cá nhân, tập đoàn tư nhân chứ không phải về tay nhà nước nhé.",neutral,VF7,b8mtVV98MPY,True
99,Vậy tại sao bác ko nhắc đến những thành phần cứ thấy Vinfast là văng ra những lời thô tục một cách mù quáng? HAY bác cũng đồng tình với những RÁC đó?,neutral,VF7,b8mtVV98MPY,True
100,Bác ns rất đúng. Chính vì e đọc comment người chê vin bị chửi rất  vô văn hóa . Nên e cũng bị phản cảm theo hiện tại e k còn chút cảm tình nào . Việc bị chê là hết sức bt cho 1 sản phẩm bất kỳ.  đến lexus cũng bị chê rất thậm tệ cũng có. Những họ không hành xử như vậy.,neutral,VF7,b8mtVV98MPY,True
101,Bạn nói không đúng. Nhiều người chê xe Vin phần lớn là những người chưa bao giờ sử dụng xe Vin.,neutral,VF7,b8mtVV98MPY,True
102,"Rất nhiều người không có chút văn hóa nào 
Bình luận về một vấn đề gì cũng dùng lời lẽ thô tục ghê gớm.",neutral,VF7,b8mtVV98MPY,True
103,"Ngày xưa có ô kia chê bị mời lên uống trà rồi đấy .chê sai thì còn phê phán chê đúng coi như góp ý để thay đổi tốt hơn ,nhưng phàm hay bị các ae thần thánh hóa nhảy vào blabla trong khi đó chưa biết đã có xe hay chưa. Văn hóa trên mạng của người vn  nước nào cũng ngao ngán.kể cả trọng tài trước khi bắt trận banh nào của vn đều khóa trang cá nhân là hiểu 😢😢",neutral,VF7,b8mtVV98MPY,True
104,"Em cũng không hiểu luôn bác, đừng buồn bác ạ😂",neutral,VF7,b8mtVV98MPY,True
105,Người comment thì nhiều nhưng những người có xe thì ít.xem YouTube thì thấy sao nói vậy chứ có xe trải nghiệm đâu mà biết.chỉ thấy hùa theo chứ thực chất có mấy người đc sở hữu,neutral,VF7,b8mtVV98MPY,True
106,"phải có khen và chê để tất cả mọi ng có cái nhìn cụ thể về xe,  giúp nhà sản xuất biết còn khắc phục.",neutral,VF7,b8mtVV98MPY,True
107,Không yêu cũng không ghét nhưng luôn ủng hộ vì nếu không có khởi đầu thì 1000 năm nữa VN cũng chưa sở hữu được hãng xe oto nào,neutral,VF7,b8mtVV98MPY,True
108,Kênh đánh giá rất khách quan. Nếu có thiên vị thì cũng rất bt. Sản phẩm của dân tộc mà. Không yêu quý nó thì yêu quý ai. ❤,positive,VF7,b8mtVV98MPY,True
109,Chuẩn luôn anh. Anh Vượng chắc có vui khi nhiều người bênh VF văn hoá lùn?,neutral,VF7,b8mtVV98MPY,True
110,"Tôi không ghét xe vin, thực ra chất lượng không đến nỗi nào. Nhưng tôi ghét những người xưng danh là ủng hộ vin. 
1. Những ai chê xe vin thì được cho là cali, là không yêu nước, là phản động.
2. Bọn nó đánh đồng việc mua hàng vin, ủng hộ vin với việc yêu nước
3. Bọn nó không hiểu gì về sản xuất công nghiệp khi nghĩ rằng cứ bỏ tiền ra thuê người khác, nước khác sản xuất là thành xe của hãng việt nam. Vì sao apple, samsung được xem là của mỹ, hàn mà vin lại bị nghi ngờ là hàng tàu? Bởi vì người ta làm chủ thiết kế, làm chủ QC, làm chủ công nghệ, chỉ là đi thuê thằng khác làm cho rẻ. Còn ở đây người ta nghi ngờ vin không làm chủ công nghệ gì cả, gì cũng đi mua. Đó mới là vấn đề",neutral,VF7,b8mtVV98MPY,True
111,"bạn nói VF không tự sản xuất, không làm chủ công nghệ thì chưa đúng lắm. VF có tiền họ đi mua công nghệ sản xuất ô tô của người ta về tự sản xuất ô tô thì không phải do VF sản xuất là gì?. Có nhất thiết phải đổ 1 đống tiền tự nghiên cứu trong khi xuất phát điểm không có gì về sản xuất ô tô. Tôi hỏi bạn hãng MG hiện tại do Trung Quốc mua lại hãng ô tô của Anh rồi họ sản xuất xe, thế bạn nói MG hiện tại vẫn do người Anh sản xuất à. Có ghét VF thì cũng công tâm nhìn nhận nhà máy họ sản xuất được cái gì và mua cái gì. Và cũng nên nhìn nhận là VF và những doanh nghiệp sản xuất tương tự tạo ra bao nhiêu việc làm cho dân VN. Riêng tôi chỉ quan trọng là chất lượng sản phẩm, dịch vụ bảo trì bảo dưỡng. Nếu xe Trung Quốc vào VN mà chất lượng tốt, dịch vụ bảo dưỡng đầy đủ, trạm sạt điện đảm bảo thì tôi vẫn mua xe Trung Quốc sử dụng. Tôi không quan tâm họ dè bỉu tôi đi xe Trung Quốc, cái tôi cần là 1 phương tiện đi lại, che nắng, che mưa và an toàn khi ra đường",neutral,VF7,b8mtVV98MPY,True
112,"chê khen là chuyện hết sức bình thường bạn ạ. Chúng ta có quyền kg thích, kg mua. Nhưng phải văn minh, công tâm, hiểu biết và có văn hóa. Chúng ta nên đánh giá khi đã trải nghiệm thực tế, và ít nhất dành một chút tử tế cho tinh thần phát triển quê hương. Mình đọc nhiều bình luận thì hiểu rằng, có nhiều bạn có lẽ còn chưa cầm volang bao giờ nhưng lại tỏ ra chê bai một cách hằn học và rất thiếu văn hóa.",neutral,VF7,b8mtVV98MPY,True
113,"Comment của mình ở trên cũng bị rất nhiều thành phần thiếu văn hoá vào bênh vf mù quáng, chắc cũng nhiều rác đã bị kênh chặn. Mình có khen có chê xe một cách rõ ràng nhưng vs chúng nó thế là không được, đụng đến vf thì chỉ đc khen :))",neutral,VF7,b8mtVV98MPY,True
114,"Bạn có văn hoá quá,lên yt xem video xong r chê nọ chê kia nhưng có khi còn chưa 1 lần ngồi lên 1 cái xe điện🤣🤣🤣🤣",neutral,VF7,b8mtVV98MPY,True
115,"Khổ thân cứ nhắc đến VF là ae 3 sọi vào xỉa xói 😂
Khoá hết chúng nó đi a sếp",neutral,VF7,b8mtVV98MPY,True
116,"Đọc cho kỹ đi, toàn bọn bênh vf chửi hô văn hóa người nào ko may chê xe :D",neutral,VF7,b8mtVV98MPY,True
117,A né cái hãng xe thị phi này ra dùm e cho đỡ nặng đầu.,negative,VF7,b8mtVV98MPY,True
118,"kênh về xe lại bảo người ta né hãng xe, nghe kỳ vậy?",neutral,VF7,b8mtVV98MPY,True
119,"Vin no nó vậy , chỉ muốn khen ko đc chê",negative,VF7,b8mtVV98MPY,True
120,Ông chửi người ta Vin nô thì cũng có hơn gì đâu.,negative,VF7,b8mtVV98MPY,True
121,"chê cũng được nhưng bạn chê có văn hóa chứ đừng chê kiểu thô tục. Nhưng tôi vẫn thắc mắc tại sao tập đoàn Huyndai (Hàn Quốc) , tập đoàn Honda (Nhật Bản)...vv mây mây. Người ta tồn tại được vì sao ? vì người dân bên đó người ta tự hào sản phẩm của nước họ không như VN cứ thấy ai làm tốt và có rất ít lỗi nhưng chê rất nặng thậm chí còn chửi chứ không phải là chê",neutral,VF7,b8mtVV98MPY,True
122,Chê bai toàn vện ba que thôi anh,positive,VF7,b8mtVV98MPY,True
123,bọn đấy là bọn anti. Cố tình chửi bới để nhiều người ghét thêm đó bạn ơi,neutral,VF7,b8mtVV98MPY,True
124,"cái này thì chịu, nói một phía ai mà tin đc, chỉ biết toàn bọn vo văn hoá chửi người chế xe",neutral,VF7,b8mtVV98MPY,True
125,"ng đi xe vin họ ko chửi như vậy đâu, minh đang đi vin đây, nó là phù hợp vs mình chứ ko phải co.n xe hoàn hoả, nên khen chê là bt",positive,VF7,b8mtVV98MPY,True
126,"haha. Cai cú tìm mọi comment để khịa à, vh của fan vf đấy. Chê mỗi câu giá đắt cái đi đâu cũng bị khịa, rồi đc gì, xe bán đc nhiều hơn không bạn.",neutral,VF7,b8mtVV98MPY,True
127,"uh,xe VF bán ế,vì những người giàu như bạn không mua tại nó đắt,mua Mazda CX5 mới là chân ái là thông minh.🤣🤣🤣",neutral,VF7,b8mtVV98MPY,True
128,"nói như trẻ lên 3, con xe duoi tỷ mà suốt ngày giàu với ngèo, làm như xe sang :). Nói thẳng cho vuông nhé, người giàu ai them đi VF, người ta đi Mec, Bim, Audi rồi bạn trẻ à, hoang tưởng quá.",neutral,VF7,b8mtVV98MPY,True
129,Nếu chưa sử dụng thì làm sao biết xe tốt hay xấu. Thậm chí khi xe điện Vin được xuất khẩu sang Mỹ. Phần lớn các báo chí về ô tô và youtuber review ô tô chỉ chạy thu xe Vịn trong vòng vài giờ là họ đã chê thậm tệ đến nỗi họ để nghỉ trả xe Vin về nơi sản xuất??,positive,VF7,b8mtVV98MPY,True
130,"Đây  sao tôi đã quyết định thuê một chiếc VF8 Plus, và sau hơn 8 tháng chạy, tôi có thể nói xe Vin có chất lượng tốt độ an toàn cao và rất đáng tin cậy. Nghĩa là mỗi lần đề máy xe, thì xe hoạt động như mong muốn và và xe chạy rất mượt mà.",positive,VF7,b8mtVV98MPY,True
131,Kênh này rất chung thực. Rất hay,positive,VF7,b8mtVV98MPY,True
132,"thấy hợp lý so với giá tiền thì mua ko thì thôi. khen chê là chuyện bình thường, đừng khen quá và chê quá vì như vậy là không thật tâm. thêm nữa nhiều người không phân biệt dc là chê hay dìm hàng. chưa kể còn có những người chưa được trải ngiệm bao giờ chỉ nghe người khác nói vào bình loạn lên khác j tát nước theo mưa. người ta chê để mọi người xem có chấp nhận được không chứ có phải dìm đâu hãy tôn trọng những con người thật tâm",neutral,VF7,b8mtVV98MPY,True
133,Tipcar làm thêm các sp của vin đi,neutral,VF7,b8mtVV98MPY,True
134,"Bao kênh review xe nhưng cũng chỉ thích và xem kênh của bác VA, vì bác dám nói dám làm. Từ khi nào việc khen chê một sản phẩm lại bị đánh tráo khái niệm với việc yêu nước hay không như vậy?",positive,VF7,b8mtVV98MPY,True
135,Nhìn đẹp mà để người ta trải nghiệm trước đi hơn tỷ rất nhiều sự lựa chọn,neutral,VF7,b8mtVV98MPY,True
136,Vf7 là con xe mình ưng ý nhất trong gia đình Vinfast nói riêng và phân khúc Suv C nói chung,positive,VF7,b8mtVV98MPY,True
137,"Tôi quan tâm đến độ ngả của hàng ghế thứ 2 đối với các đồng xe, nó tạo sự thoải mái khi đi đường trường đối với các thành viên trong gia đình.",neutral,VF7,b8mtVV98MPY,True
138,"Kênh làm clip hay và chi tiết. Xem một lèo gần 10 vid rồi mới gặp đc 1 vid mà thấy 'đã' về thông tin như này. Nói đến bộ phận nào thì có video quay cận cảnh đến đó, phân tích kèm số liệu chi tiết, có so sánh với thông số chung trong các phân khúc để người xem dễ hình dung. Các nhận xét, đánh giá đi sâu được vào các chi tiết nhỏ nhưng lại là thường xuyên khi sử dụng thực tế. Không khen thừa, không chê cho có cảm giác công-tâm, các đánh giá rất cụ thể ""rộng, hẹp, cao, thấp"" giúp người xem rất dễ hình dung. Cảm ơn kênh.",positive,VF7,b8mtVV98MPY,True
139,"Xe điện thì tính tới món tiết kiệm nhiên liệu thôi, bốc quá thì với đa số cũng chả làm j nếu đi trong phố là chính. Vin cần nâng cấp nội thất",neutral,VF7,b8mtVV98MPY,True
140,Nó đẹp như  bản N-line các hãng ý anh nhở😊,positive,VF7,b8mtVV98MPY,True
141,Nội thất làm như nội thất bán tải vf wild thì đẹp hết ý,neutral,VF7,b8mtVV98MPY,True
142,Mình vẫn thích cái yên ngựa như vf8,neutral,VF7,b8mtVV98MPY,True
143,Phải đăng nhập để like cho ae làm kênh này. Mãi mới xem đc review tử tế trc khi mua. Tks ae,positive,VF7,b8mtVV98MPY,True
